"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"NTUSER.DAT"	".DAT"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:43 IST"	"2014-02-27 15:04:54 IST"	"786432"	"4896133"	"cfe3d995dfcfba4ab6168c1ea71475aa"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Admin/NTUSER.DAT"
"File-Hashing-9.bmp"	".bmp"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:44 IST"	"2015-10-09 13:26:04 IST"	"174736"	"4920839"	"998f0fb0f3b051bb4b281a22cb97f04f"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/File-Hashing-9.bmp"
"File-Hashing-9.bmp-slack"	".bmp-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:44 IST"	"2015-10-09 13:26:04 IST"	"1392"	"4920839"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/File-Hashing-9.bmp-slack"
"File.docx"	".docx"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:44 IST"	"2015-10-10 15:40:18 IST"	"46107"	"4920841"	"e23921e0f18db86755a54f38ff39afa4"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/File.docx"
"File.docx-slack"	".docx-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:44 IST"	"2015-10-10 15:40:18 IST"	"3045"	"4920841"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/File.docx-slack"
"Flowers.jpg"	".jpg"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:44 IST"	"2015-10-08 18:07:26 IST"	"1249016"	"4920843"	"087f8deebae1d99821b276a9f8b97730"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/Flowers.jpg"
"Flowers.jpg-slack"	".jpg-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:44 IST"	"2015-10-08 18:07:26 IST"	"264"	"4920843"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/Flowers.jpg-slack"
"Forecasts.xlsx"	".xlsx"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:45 IST"	"2015-10-10 16:10:30 IST"	"36888"	"4920846"	"f25849c99f2350455534b43d74e1264e"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/Forecasts.xlsx"
"Forecasts.xlsx-slack"	".xlsx-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:45 IST"	"2015-10-10 16:10:30 IST"	"4072"	"4920846"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/Forecasts.xlsx-slack"
"Gecko.jpg"	".jpg"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:45 IST"	"2015-10-08 18:07:26 IST"	"792146"	"4920848"	"89952c4fb4da949598e6c97bf4acccc6"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Desktop/Gecko.jpg"
